Designator,Mid X,Mid Y,Rotation,Layer
D53,53.523749,-109.625,90.0,bottom
D54,79.717499,-109.625,90.0,bottom
D55,98.767499,-109.625,90.0,bottom
D56,117.817499,-109.625,90.0,bottom
D57,136.867499,-109.625,90.0,bottom
D58,155.917499,-109.625,90.0,bottom
D59,174.967499,-109.625,90.0,bottom
D6,170.204999,-42.95,90.0,bottom
D60,194.017499,-109.625,90.0,bottom
D61,213.067499,-109.625,90.0,bottom
D62,232.117499,-109.625,90.0,bottom
D63,251.167499,-109.625,90.0,bottom
D64,270.217499,-109.625,90.0,bottom
D65,301.173749,-109.625,90.0,bottom
D66,341.654999,-109.625,90.0,bottom
D67,360.704999,-109.625,90.0,bottom
D68,379.754999,-109.625,90.0,bottom
D69,58.286249,-128.675,90.0,bottom
D7,189.254999,-42.95,90.0,bottom
D70,89.242499,-128.675,90.0,bottom
D71,108.292499,-128.675,90.0,bottom
D72,127.342499,-128.675,90.0,bottom
D73,146.392499,-128.675,90.0,bottom
D74,165.442499,-128.675,90.0,bottom
D75,184.492499,-128.675,90.0,bottom
D76,203.542499,-128.675,90.0,bottom
D77,222.592499,-128.675,90.0,bottom
D78,241.642499,-128.675,90.0,bottom
D79,260.692499,-128.675,90.0,bottom
D8,208.304999,-42.95,90.0,bottom
D80,286.886249,-128.675,90.0,bottom
D81,317.842499,-133.438,90.0,bottom
D82,341.654999,-128.675,90.0,bottom
D83,360.704999,-128.675,90.0,bottom
D84,379.754999,-128.675,90.0,bottom
D85,48.761249,-147.725,90.0,bottom
D86,72.573749,-147.725,90.0,bottom
D87,96.386249,-147.725,90.0,bottom
D88,167.823749,-147.725,90.0,bottom
D89,236.879999,-147.725,90.0,bottom
D9,227.354999,-42.95,90.0,bottom
D90,255.929999,-147.725,90.0,bottom
D91,274.979999,-147.725,90.0,bottom
D92,298.792499,-152.488,90.0,bottom
D93,317.842499,-152.488,90.0,bottom
D94,336.892499,-152.488,90.0,bottom
D95,360.704999,-147.725,90.0,bottom
D96,379.754999,-147.725,90.0,bottom
GND,320.16,-102.84,0.0,top
J1,320.16,-111.71,270.0,top
L1,38.099999,-43.282842,180.0,top
L10,333.374999,-129.007842,180.0,top
L11,95.249999,-43.282842,180.0,top
L12,228.600001,-71.652158,0.0,top
L13,200.024999,-90.907842,180.0,top
L14,147.637501,-109.752158,0.0,top
L15,352.424999,-129.007842,180.0,top
L16,114.299999,-43.282842,180.0,top
L17,209.550001,-71.652158,0.0,top
L18,219.074999,-90.907842,180.0,top
L19,128.587501,-109.752158,0.0,top
L2,266.700001,-71.652158,0.0,top
L20,371.474999,-129.007842,180.0,top
L21,133.349999,-43.282842,180.0,top
L22,190.500001,-71.652158,0.0,top
L23,238.124999,-90.907842,180.0,top
L24,109.537501,-109.752158,0.0,top
L25,390.525001,-138.327158,0.0,top
L26,161.924999,-43.282842,180.0,top
L27,171.450001,-71.652158,0.0,top
L28,257.174999,-90.907842,180.0,top
L29,90.487501,-109.752158,0.0,top
L3,161.924999,-90.907842,180.0,top
L30,371.475001,-147.852158,0.0,top
L31,180.974999,-43.282842,180.0,top
L32,152.400001,-71.652158,0.0,top
L33,276.224999,-90.907842,180.0,top
L34,71.437501,-109.752158,0.0,top
L35,352.425001,-147.852158,0.0,top
L36,200.024999,-43.282842,180.0,top
L37,133.350001,-71.652158,0.0,top
L38,300.037499,-90.907842,180.0,top
L39,45.243751,-109.752158,0.0,top
L4,185.737501,-109.752158,0.0,top
L40,328.612501,-152.615158,0.0,top
L41,219.074999,-43.282842,180.0,top
L42,114.300001,-71.652158,0.0,top
L43,333.374999,-90.907842,180.0,top
L44,50.006249,-129.007842,180.0,top
L45,309.562501,-152.615158,0.0,top
L46,247.649999,-43.282842,180.0,top
L47,95.250001,-71.652158,0.0,top
L48,352.424999,-90.907842,180.0,top
L49,80.962499,-129.007842,180.0,top
L5,309.562499,-133.770842,180.0,top
L50,290.512501,-152.615158,0.0,top
L51,266.699999,-43.282842,180.0,top
L52,76.200001,-71.652158,0.0,top
L53,371.474999,-90.907842,180.0,top
L54,100.012499,-129.007842,180.0,top
L55,266.700001,-147.852158,0.0,top
L56,285.749999,-43.282842,180.0,top
L57,57.150001,-71.652158,0.0,top
L58,390.524999,-100.432842,180.0,top
L59,119.062499,-129.007842,180.0,top
L6,76.199999,-43.282842,180.0,top
L60,247.650001,-147.852158,0.0,top
L61,304.799999,-43.282842,180.0,top
L62,38.100001,-71.652158,0.0,top
L63,371.475001,-109.752158,0.0,top
L64,138.112499,-129.007842,180.0,top
L65,228.600001,-147.852158,0.0,top
L66,352.424999,-43.282842,180.0,top
L67,352.425001,-109.752158,0.0,top
L68,157.162499,-129.007842,180.0,top
L69,159.543751,-147.852158,0.0,top
L7,247.650001,-71.652158,0.0,top
L70,371.474999,-43.282842,180.0,top
L71,42.862499,-90.907842,180.0,top
L72,333.375001,-109.752158,0.0,top
L73,176.212499,-129.007842,180.0,top
L74,88.106251,-147.852158,0.0,top
L75,390.525001,-71.652158,0.0,top
L76,66.674999,-90.907842,180.0,top
L77,292.893751,-109.752158,0.0,top
L78,195.262499,-129.007842,180.0,top
L79,64.293751,-147.852158,0.0,top
L8,180.974999,-90.907842,180.0,top
L80,371.475001,-71.652158,0.0,top
L81,85.724999,-90.907842,180.0,top
L82,261.937501,-109.752158,0.0,top
L83,214.312499,-129.007842,180.0,top
L84,40.481251,-147.852158,0.0,top
L85,352.425001,-71.652158,0.0,top
L86,104.774999,-90.907842,180.0,top
L87,242.887501,-109.752158,0.0,top
L88,233.362499,-129.007842,180.0,top
L89,333.375001,-71.652158,0.0,top
L9,166.687501,-109.752158,0.0,top
L90,123.824999,-90.907842,180.0,top
L91,223.837501,-109.752158,0.0,top
L92,252.412499,-129.007842,180.0,top
L93,295.275001,-71.652158,0.0,top
L94,142.874999,-90.907842,180.0,top
L95,204.787501,-109.752158,0.0,top
L96,278.606249,-129.007842,180.0,top
P1,328.71,-30.01,180.0,top
R1,336.47,-31.77,0.0,top
R10,32.73,-43.62,270.0,bottom
R2,340.39,-36.74,0.0,top
R3,336.42,-35.2,0.0,top
R4,340.52,-33.04,0.0,top
R5,316.67,-38.31,90.0,bottom
R6,310.59,-67.04,270.0,bottom
R7,320.73,-62.11,180.0,top
RE1,390.84,-37.76,0.0,top
RESET,319.91,-93.49,0.0,top
SW1,38.1,-38.1,0.0,top
SW10,247.65,-38.1,0.0,top
SW11,266.7,-38.1,0.0,top
SW12,285.75,-38.1,0.0,top
SW13,304.8,-38.1,0.0,top
SW14,352.425,-38.1,0.0,top
SW15,371.475,-38.1,0.0,top
SW16,38.1,-66.675,0.0,top
SW17,57.15,-66.675,0.0,top
SW18,76.2,-66.675,0.0,top
SW19,95.25,-66.675,0.0,top
SW2,76.2,-38.1,0.0,top
SW20,114.3,-66.675,0.0,top
SW21,133.35,-66.675,0.0,top
SW22,152.4,-66.675,0.0,top
SW23,171.45,-66.675,0.0,top
SW24,190.5,-66.675,0.0,top
SW25,209.55,-66.675,0.0,top
SW26,228.6,-66.675,0.0,top
SW27,247.65,-66.675,0.0,top
SW28,266.7,-66.675,0.0,top
SW29,295.275,-66.675,0.0,top
SW3,95.25,-38.1,0.0,top
SW30,333.375,-66.675,0.0,top
SW31,352.425,-66.675,0.0,top
SW32,371.475,-66.675,0.0,top
SW33,390.525,-66.675,0.0,top
SW34,390.525,-133.35,0.0,top
SW35,42.8625,-85.725,0.0,top
SW36,66.675,-85.725,0.0,top
SW37,85.725,-85.725,0.0,top
SW38,104.775,-85.725,0.0,top
SW39,123.825,-85.725,0.0,top
SW4,114.3,-38.1,0.0,top
SW40,142.875,-85.725,0.0,top
SW41,161.925,-85.725,0.0,top
SW42,180.975,-85.725,0.0,top
SW43,200.025,-85.725,0.0,top
SW44,219.075,-85.725,0.0,top
SW45,238.125,-85.725,0.0,top
SW46,257.175,-85.725,0.0,top
SW47,276.225,-85.725,0.0,top
SW48,300.0375,-85.725,0.0,top
SW49,333.375,-85.725,0.0,top
SW5,133.35,-38.1,0.0,top
SW50,352.425,-85.725,0.0,top
SW51,371.475,-85.725,0.0,top
SW52,390.525,-95.25,0.0,top
SW53,45.24375,-104.775,0.0,top
SW54,71.4375,-104.775,0.0,top
SW55,90.4875,-104.775,0.0,top
SW56,109.5375,-104.775,0.0,top
SW57,128.5875,-104.775,0.0,top
SW58,147.6375,-104.775,0.0,top
SW59,166.6875,-104.775,0.0,top
SW6,161.925,-38.1,0.0,top
SW60,185.7375,-104.775,0.0,top
SW61,204.7875,-104.775,0.0,top
SW62,223.8375,-104.775,0.0,top
SW63,242.8875,-104.775,0.0,top
SW64,261.9375,-104.775,0.0,top
SW65,292.89375,-104.775,0.0,top
SW66,333.375,-104.775,0.0,top
SW67,352.425,-104.775,0.0,top
SW68,371.475,-104.775,0.0,top
SW69,50.00625,-123.825,0.0,top
SW7,180.975,-38.1,0.0,top
SW70,80.9625,-123.825,0.0,top
SW71,100.0125,-123.825,0.0,top
SW72,119.0625,-123.825,0.0,top
SW73,138.1125,-123.825,0.0,top
SW74,157.1625,-123.825,0.0,top
SW75,176.2125,-123.825,0.0,top
SW76,195.2625,-123.825,0.0,top
SW77,214.3125,-123.825,0.0,top
SW78,233.3625,-123.825,0.0,top
SW79,252.4125,-123.825,0.0,top
SW8,200.025,-38.1,0.0,top
SW80,278.60625,-123.825,0.0,top
SW81,309.5625,-128.588,0.0,top
SW82,333.375,-123.825,0.0,top
SW83,352.425,-123.825,0.0,top
SW84,371.475,-123.825,0.0,top
SW85,40.48125,-142.875,0.0,top
SW86,64.29375,-142.875,0.0,top
SW87,88.10625,-142.875,0.0,top
SW88,159.54375,-142.875,0.0,top
SW89,228.6,-142.875,0.0,top
SW9,219.075,-38.1,0.0,top
SW90,247.65,-142.875,0.0,top
SW91,266.7,-142.875,0.0,top
SW92,290.5125,-147.638,0.0,top
SW93,309.5625,-147.638,0.0,top
SW94,328.6125,-147.638,0.0,top
SW95,352.425,-142.875,0.0,top
SW96,371.475,-142.875,0.0,top
U1,318.4225,-38.17,0.0,top
U2,328.66,-42.17,90.0,top
U3,318.9725,-52.15,90.0,top
Y1,314.08,-69.08,270.0,bottom
